"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSRNOG00000027513"	359.480638606191	-1.75633235288423	0.0869508062325606	-20.1991497144569	9.95973932466451e-91	1.76914849624016e-86
"ENSRNOG00000007137"	1126.431823553	-3.91185133860555	0.20550084657937	-19.0356945176608	8.63403111514591e-81	7.66831473491684e-77
"ENSRNOG00000061299"	198.752327846135	-2.82058591175114	0.154742855636683	-18.2275679232231	3.11885718052569e-74	1.84667533658926e-70
"ENSRNOG00000015161"	87.3838534763094	-3.36719660583822	0.186119091097275	-18.0916239488745	3.70992095794596e-73	1.64748314939985e-69
"ENSRNOG00000029726"	405.840774958096	2.04887422778123	0.118820387288764	17.243456906111	1.25314152285238e-66	4.45191057408538e-63
"ENSRNOG00000008842"	4553.49801537139	-3.12368727646357	0.181301768669558	-17.2292156849106	1.60310256760605e-66	4.74598515139771e-63
"ENSRNOG00000025936"	877.778025273861	0.986600736219706	0.0578194806109511	17.063465907939	2.77585859030682e-65	7.04393944851716e-62
"ENSRNOG00000005286"	81.9410777819053	-4.73125337189018	0.279898267838382	-16.9034749962157	4.2415644320154e-64	9.41786362573618e-61
"ENSRNOG00000022932"	192.54954773169	-1.71599788714686	0.120874329911163	-14.1965451920854	9.62414394442212e-46	1.89948520983078e-42
"ENSRNOG00000021182"	165.883396551177	-1.75512119252606	0.12370474970195	-14.1879854795776	1.0873774994053e-45	1.93150865219363e-42
"ENSRNOG00000023299"	49.0099230057307	4.80057736434565	0.351008667181431	13.6765208759483	1.40244025204639e-42	2.26468601791819e-39
"ENSRNOG00000029333"	145.980288820935	-2.22110566416443	0.164511535289216	-13.5012153418887	1.53817584558958e-41	2.27688479543398e-38
"ENSRNOG00000025823"	52.5414003619961	2.78784654257447	0.206634729503512	13.4916649745806	1.75101079113226e-41	2.39255420637557e-38
"ENSRNOG00000056398"	47.7731562060257	-5.28897338129849	0.404775587973418	-13.0664336942321	5.1210635650127e-39	6.49753229323719e-36
"ENSRNOG00000000867"	554.624967718585	0.903441171102372	0.0691868738216984	13.0579851523662	5.72222772714059e-39	6.77626207447989e-36
"ENSRNOG00000002146"	1118.18213434612	0.578975930289435	0.0469440234055731	12.3333256991496	5.99215459727566e-35	6.26109659478867e-32
"ENSRNOG00000031211"	379.459291253489	-3.82676433895926	0.310225423778664	-12.3354310950657	5.83756511100179e-35	6.26109659478867e-32
"ENSRNOG00000029179"	37.221259470604	-3.31560117243041	0.27838565982332	-11.9101004503418	1.04850872189913e-32	1.03470335706079e-29
"ENSRNOG00000007033"	258.280700725271	-2.03301456159234	0.172391361519523	-11.7930187665587	4.24063330288866e-32	3.96454575574796e-29
"ENSRNOG00000025848"	281.336876076964	-1.61170811894604	0.143403117589316	-11.239003349716	2.62327152278619e-29	2.32985860296256e-26
"ENSRNOG00000051193"	40.9750621775554	-5.56837512373598	0.502882780924478	-11.0729087074712	1.69798142071604e-28	1.43624971315139e-25
"ENSRNOG00000030016"	158.415752955843	3.03350397352498	0.276076554530961	10.98790869322	4.3693283004373e-28	3.52783539093945e-25
"ENSRNOG00000015895"	889.63439275198	-0.752766866572247	0.0697772139033188	-10.7881473687851	3.91604109608549e-27	3.02437556477246e-24
"ENSRNOG00000031090"	276.052857367419	-1.67446679425674	0.160335596147197	-10.4435124482244	1.56895756578467e-25	1.16122471837638e-22
"ENSRNOG00000050885"	31.767760816949	-3.27211540641337	0.314177227188344	-10.4148713631997	2.12084103024645e-25	1.50689996881071e-22
"ENSRNOG00000030625"	532.455759538299	-1.18816102568049	0.114289474480126	-10.3960669264177	2.58378903876135e-25	1.76522479598146e-22
"ENSRNOG00000004438"	46.2668067874707	-2.9081733893249	0.280308515292833	-10.3749020477911	3.22542989326503e-25	2.12197448866914e-22
"ENSRNOG00000005335"	27.8112044928706	-4.18992632631285	0.40877642075758	-10.2499217507402	1.18439381604803e-24	7.51370976945042e-22
"ENSRNOG00000021960"	34.7266299601225	-2.59551324191039	0.254537751746849	-10.1969677350327	2.04559467850707e-24	1.25296200945935e-21
"ENSRNOG00000002139"	237.196932075145	1.51727325592651	0.149200207429756	10.169377657473	2.7163866180948e-24	1.60837251657393e-21
"ENSRNOG00000026040"	213.093631929941	1.52984612303159	0.151603389118234	10.0911076719959	6.04831166378834e-24	3.46568258335072e-21
"ENSRNOG00000004443"	31.4544824451428	3.81270193178707	0.378545157051022	10.071987082041	7.34783189137273e-24	4.07873555895168e-21
"ENSRNOG00000006997"	13310.6702803675	-0.264748526153607	0.0263126563631258	-10.0616419148247	8.16254878687717e-24	4.39367739700907e-21
"ENSRNOG00000012067"	742.848062445295	-6.40080385309121	0.641572596676093	-9.97674134813888	1.92691307611987e-23	1.00669873444463e-20
"ENSRNOG00000030154"	3733.00171143249	2.6560787758583	0.267523360405023	9.92839941841741	3.13243142809058e-23	1.58975369877637e-20
"ENSRNOG00000000860"	120.937148609232	1.30006640053619	0.131775083904958	9.86579831338871	5.85666921471641e-23	2.88977820169465e-20
"ENSRNOG00000059497"	191.621989977201	-1.73272743991728	0.175801707631444	-9.85614681030187	6.44763789418458e-23	3.09538897065948e-20
"ENSRNOG00000029590"	177.322322093721	-1.50051318803612	0.153173915543661	-9.79614043755653	1.16969895376432e-22	5.4677269778199e-20
"ENSRNOG00000048148"	96.7568518724456	-1.66011937907408	0.170796745113177	-9.71985372422652	2.48137698557578e-22	1.1301717793534e-19
"ENSRNOG00000000961"	56.8902210129037	-2.75711662581827	0.285307997968455	-9.66364996933281	4.30255167232736e-22	1.91065563388877e-19
"ENSRNOG00000048250"	139.354839316559	-1.06249696802822	0.110129767664191	-9.6476819170999	5.02794059622081e-22	2.1783246051383e-19
"ENSRNOG00000053405"	418.144762692991	-0.639368880023741	0.0672963082429773	-9.50080170393986	2.08280535498956e-21	8.80877893349514e-19
"ENSRNOG00000000097"	25.7328213705232	2.67929991368545	0.286866257578318	9.33989217241406	9.64322746007746e-21	3.98354998542688e-18
"ENSRNOG00000015551"	193.824033115788	-1.09002840204906	0.117565664101924	-9.27165606025971	1.83277822342077e-20	7.39900899605071e-18
"ENSRNOG00000011440"	134.661614621878	-1.53063698503085	0.165249570877924	-9.26257766903121	1.99555364632728e-20	7.87711542660254e-18
"ENSRNOG00000030106"	26.5665051726944	-3.23679289321613	0.35279906252181	-9.17460740989364	4.53222896031723e-20	1.75013006569815e-17
"ENSRNOG00000031706"	20.734951497433	-3.06613605234063	0.33453930462008	-9.1652490753596	4.94326834455716e-20	1.86823990647593e-17
"ENSRNOG00000022144"	37.4048385041816	-6.7765390324974	0.739861211731275	-9.1592030032772	5.22820094491196e-20	1.93476111217648e-17
"ENSRNOG00000019339"	24.7230696135184	3.00888597539212	0.329060989927021	9.14385499192545	6.02648698684574e-20	2.14195851586707e-17
"ENSRNOG00000058202"	22.9482095552464	-3.89038396121065	0.425466633085847	-9.1438050805401	6.02927015669388e-20	2.14195851586707e-17
"ENSRNOG00000013321"	194.24614635455	-0.830400490606351	0.0909399117013965	-9.13130962049966	6.76755915638774e-20	2.34033757408289e-17
"ENSRNOG00000031368"	23.4888066272913	-5.2655249407317	0.576729064672052	-9.12998019915271	6.8511824496037e-20	2.34033757408289e-17
"ENSRNOG00000061440"	25.0555815799744	3.29638990088981	0.362041905705396	9.10499544097576	8.62700602061495e-20	2.89134920649403e-17
"ENSRNOG00000008011"	44.0598524735476	7.49413225323339	0.832201009328184	9.00519486185582	2.15283155266879e-19	7.08161979075105e-17
"ENSRNOG00000059010"	19.2566427089835	3.78962566988902	0.425748465629019	8.90109061060283	5.53005893368382e-19	1.78600794252774e-16
"ENSRNOG00000042596"	40.1204611979112	-3.14994445722028	0.354758872329867	-8.87911396417832	6.73950320265332e-19	2.13774634622734e-16
"ENSRNOG00000000723"	86.2381304342648	-1.90502008165454	0.216016595646501	-8.81885984710173	1.15631062765934e-18	3.60342906651103e-16
"ENSRNOG00000014761"	136.529731985071	1.20360118049601	0.137527489826618	8.75171343571671	2.10137454888214e-18	6.4356407089299e-16
"ENSRNOG00000059876"	389.693931428669	-1.9169283696291	0.219888363988013	-8.71773446699346	2.83823626731392e-18	8.54501539259274e-16
"ENSRNOG00000050210"	319.545240793758	-1.00145191072265	0.11694201723289	-8.56366201318606	1.0933804864947e-17	3.23695293026756e-15
"ENSRNOG00000016545"	609.408749438647	-0.558528687049657	0.0654307662150828	-8.53617830507549	1.38734215856663e-17	4.03989487911787e-15
"ENSRNOG00000013521"	358.429461919155	-2.03875785445371	0.23929493544438	-8.5198537556495	1.59754918815596e-17	4.57697842406682e-15
"ENSRNOG00000003386"	25.7490980113572	-3.36524094592923	0.396001193516208	-8.49805758424183	1.92789473489954e-17	5.43574510730485e-15
"ENSRNOG00000017539"	81.3476330292214	-2.529853570115	0.300379931743499	-8.42217905647339	3.69545698275824e-17	1.02566253726148e-14
"ENSRNOG00000021691"	139.792776042465	0.869587451099218	0.103768636682116	8.38006047784079	5.29005143502662e-17	1.44564897908273e-14
"ENSRNOG00000020076"	276.708277999403	-0.667513899227901	0.079972564500666	-8.34678621844548	7.01455201240056e-17	1.88787102115562e-14
"ENSRNOG00000003537"	871.304419077629	-2.76797381311427	0.332034806095864	-8.33639655330323	7.65887608750568e-17	2.03051665585617e-14
"ENSRNOG00000051612"	24.5406774313326	2.21871034628149	0.266256684145798	8.33297520172886	7.88356794774765e-17	2.05935025670355e-14
"ENSRNOG00000052555"	19.3385568126737	2.6457739515021	0.319507496560683	8.28078833824669	1.22362509470636e-16	3.15003660250276e-14
"ENSRNOG00000025523"	212.832284694609	-0.6562438203854	0.0793256443588011	-8.27278272606419	1.30868058245356e-16	3.32087045516036e-14
"ENSRNOG00000027799"	31.87883783106	1.93052406025766	0.233752586001994	8.25883509259311	1.47100991064949e-16	3.68021817505166e-14
"ENSRNOG00000020263"	31.030519041033	3.19091623833158	0.389483915922737	8.19267781770112	2.55477381907548e-16	6.30283990947746e-14
"ENSRNOG00000057989"	14.148864679458	-7.23242384298238	0.885646074499592	-8.16626872881342	3.18074304614922e-16	7.7396628395546e-14
"ENSRNOG00000002101"	507.822184703846	0.528335562993855	0.0652961002247355	8.09138005448159	5.89924681324526e-16	1.41605839383345e-13
"ENSRNOG00000045743"	2103.20940434401	-1.18330912010712	0.147037546546025	-8.04766638116289	8.43876063041306e-16	1.99863606770703e-13
"ENSRNOG00000023122"	70.4660699909832	-1.99536639536843	0.248150309026802	-8.04095873663775	8.91382729824342e-16	2.08337255656181e-13
"ENSRNOG00000015835"	50.4188701125251	1.70284938676234	0.211851299059156	8.03794640072914	9.13565727526808e-16	2.10748935299464e-13
"ENSRNOG00000007069"	1075.5354141441	-0.702305117747489	0.0874052312646777	-8.03504673102221	9.35432442755396e-16	2.13026749752104e-13
"ENSRNOG00000016525"	418.225474099215	-0.914917384012405	0.114089284685532	-8.01931037199699	1.06340497217749e-15	2.39104588870744e-13
"ENSRNOG00000008728"	113.190477307365	-0.846320345898477	0.106804897900546	-7.92398441021449	2.30018475346839e-15	5.10727272198238e-13
"ENSRNOG00000049641"	1008.45207313872	-0.697536130359308	0.0880794685297119	-7.91939531428947	2.38668412350608e-15	5.23390988714056e-13
"ENSRNOG00000018680"	1477.88316710428	0.707416510987768	0.0896249067317114	7.89307946624024	2.94819755832202e-15	6.38644307664318e-13
"ENSRNOG00000060527"	15.1047476778367	6.91258014247168	0.876472288702033	7.88682110270539	3.0998127972833e-15	6.63397285760763e-13
"ENSRNOG00000025691"	79.6543418271425	2.20981341637274	0.28043458580424	7.87996034809815	3.27484985979375e-15	6.92513786422814e-13
"ENSRNOG00000013835"	16.2144858933261	4.58383223091022	0.586031066426953	7.82182463270756	5.20631058492894e-15	1.08799641082462e-12
"ENSRNOG00000022162"	171.500442706887	-0.809270929119705	0.103623435797363	-7.80972878280399	5.7311177817787e-15	1.18374238555506e-12
"ENSRNOG00000003620"	2220.81853912007	-0.897831824928941	0.115309852177033	-7.78625423567901	6.90249894631508e-15	1.3932850998113e-12
"ENSRNOG00000015438"	4050.79159650351	-1.11569095752204	0.143267721143121	-7.78745518264713	6.83722807376362e-15	1.3932850998113e-12
"ENSRNOG00000001984"	22.6517490486805	-2.51721929770948	0.3255729227606	-7.73166047214693	1.06152753466932e-14	2.11864197734058e-12
"ENSRNOG00000001074"	330.543778769668	0.601041205676339	0.0777630359069755	7.72913761231414	1.08277577254566e-14	2.13703844974762e-12
"ENSRNOG00000003865"	417.032807553444	-1.01813110625959	0.133809662205437	-7.60880110956756	2.76650090190921e-14	5.40014895830915e-12
"ENSRNOG00000052688"	51.0866981897122	-3.10814638123257	0.409606539604438	-7.58812685030406	3.24563099477945e-14	6.26653732176818e-12
"ENSRNOG00000009875"	306.523357728771	-4.08202184591083	0.539429982832055	-7.56728764774967	3.81097422019882e-14	7.20152500780761e-12
"ENSRNOG00000031889"	171.089035035397	-0.721109931745727	0.0952865344703277	-7.56780520725393	3.79582588959519e-14	7.20152500780761e-12
"ENSRNOG00000002182"	1494.42205675328	0.446527054575007	0.0593246350740233	7.52684030871569	5.19828809640797e-14	9.71970436384155e-12
"ENSRNOG00000046493"	477.316751605582	-0.766924976105227	0.102118316057051	-7.51016081852312	5.90547712696236e-14	1.09269781464826e-11
"ENSRNOG00000009951"	5202.31564329318	-0.592848144599907	0.0790531869580842	-7.49935793118939	6.41311875699168e-14	1.17439410804581e-11
"ENSRNOG00000013484"	580.927934651521	-1.09587292094626	0.146806848236756	-7.46472616303937	8.34730249010184e-14	1.51299116460897e-11
