"","BN_NP1","BN_NP2","BN_NP3","BN_P1","BN_P2","BN_P3","CD_NP1","CD_NP2","CD_NP3","CD_P1","CD_P2","CD_P3","avg"
"ENSRNOG00000000001",2,1,4,4,0,3,2,7,1,1,3,3,2.58333333333333
"ENSRNOG00000000007",0,0,2,2,2,3,0,3,1,1,0,1,1.25
"ENSRNOG00000000008",0,0,0,0,0,0,0,2,0,0,0,0,0.166666666666667
"ENSRNOG00000000010",1,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333
"ENSRNOG00000000012",3,4,4,7,0,1,1,14,1,3,8,5,4.25
"ENSRNOG00000000017",81,61,71,42,51,64,76,71,50,73,45,40,60.4166666666667
"ENSRNOG00000000021",93,92,92,98,117,126,100,90,114,114,98,118,104.333333333333
"ENSRNOG00000000024",43,31,50,42,42,64,70,66,86,60,57,64,56.25
"ENSRNOG00000000033",40,43,56,59,56,48,70,73,87,97,45,44,59.8333333333333
"ENSRNOG00000000034",952,857,1186,927,1151,858,1325,1374,1259,1368,1113,1485,1154.58333333333
"ENSRNOG00000000036",470,391,446,494,758,452,448,488,495,386,319,392,461.583333333333
"ENSRNOG00000000040",495,461,605,469,692,489,567,742,681,633,657,606,591.416666666667
"ENSRNOG00000000041",1106,1054,945,699,696,677,1227,947,706,1416,901,934,942.333333333333
"ENSRNOG00000000042",765,702,740,669,641,626,843,657,613,734,620,619,685.75
"ENSRNOG00000000043",1001,841,1035,1143,1450,1188,772,855,934,1020,802,813,987.833333333333
"ENSRNOG00000000044",242,213,238,242,287,238,252,247,235,296,214,267,247.583333333333
"ENSRNOG00000000047",792,637,844,782,1062,813,989,897,947,991,700,808,855.166666666667
"ENSRNOG00000000048",1312,1107,1264,1284,1565,1296,1380,1315,1175,1668,1263,1335,1330.33333333333
"ENSRNOG00000000053",1,0,0,0,0,0,0,0,0,1,1,0,0.25
"ENSRNOG00000000054",131,140,149,143,208,153,173,157,156,161,137,186,157.833333333333
"ENSRNOG00000000055",0,3,0,0,0,2,1,0,0,0,0,0,0.5
"ENSRNOG00000000060",3,7,4,6,2,5,4,9,9,4,6,8,5.58333333333333
"ENSRNOG00000000062",237,244,308,210,365,329,279,289,265,348,312,316,291.833333333333
"ENSRNOG00000000064",922,732,754,773,1086,799,1118,884,880,1122,903,1041,917.833333333333
"ENSRNOG00000000065",1,0,0,0,0,0,1,0,0,0,0,0,0.166666666666667
"ENSRNOG00000000066",126,132,170,139,172,171,145,144,136,184,170,177,155.5
"ENSRNOG00000000068",1124,990,1192,1109,1416,1165,1223,912,1065,1259,947,1078,1123.33333333333
"ENSRNOG00000000073",162,146,156,196,232,191,146,138,107,163,142,132,159.25
"ENSRNOG00000000075",188,157,204,190,229,165,203,184,165,257,158,192,191
"ENSRNOG00000000081",108,86,107,94,107,106,96,82,101,123,148,115,106.083333333333
"ENSRNOG00000000082",515,538,611,623,828,645,585,571,669,553,612,526,606.333333333333
"ENSRNOG00000000095",209,182,238,207,314,224,316,313,274,354,283,286,266.666666666667
"ENSRNOG00000000096",3361,2782,2742,2885,2620,2310,3935,3679,3143,4462,3145,3383,3203.91666666667
"ENSRNOG00000000097",52,34,55,44,37,39,6,9,6,8,5,9,25.3333333333333
"ENSRNOG00000000098",302,294,326,301,395,307,360,316,349,406,289,325,330.833333333333
"ENSRNOG00000000104",107,108,133,111,136,123,162,121,138,190,132,158,134.916666666667
"ENSRNOG00000000105",115,82,108,100,137,103,124,115,111,177,99,145,118
"ENSRNOG00000000108",356,333,290,347,383,301,393,378,351,429,291,317,347.416666666667
"ENSRNOG00000000111",180,144,154,164,144,152,160,124,173,147,148,146,153
"ENSRNOG00000000112",387,312,342,342,425,382,336,343,337,422,377,397,366.833333333333
"ENSRNOG00000000113",100,58,72,101,92,70,76,65,63,82,52,76,75.5833333333333
"ENSRNOG00000000121",103,83,100,80,114,118,118,112,137,110,119,102,108
"ENSRNOG00000000122",1512,1347,1424,1301,1399,1148,973,1050,884,1325,889,901,1179.41666666667
"ENSRNOG00000000123",124,238,312,139,195,277,262,147,126,213,181,179,199.416666666667
"ENSRNOG00000000127",1078,943,1114,1120,1328,1054,1182,1038,1005,1472,1057,1149,1128.33333333333
"ENSRNOG00000000129",3,7,6,9,9,4,4,8,6,1,1,2,5
"ENSRNOG00000000130",137,127,144,156,167,153,217,165,160,224,182,153,165.416666666667
"ENSRNOG00000000133",352,335,337,366,381,327,421,316,323,498,313,399,364
"ENSRNOG00000000137",26,25,34,29,57,41,61,38,43,44,54,65,43.0833333333333
"ENSRNOG00000000138",317,191,208,243,302,175,203,298,198,255,140,122,221
"ENSRNOG00000000142",1366,1307,1551,1450,1884,1641,1288,1112,1350,1821,1429,1707,1492.16666666667
"ENSRNOG00000000145",282,346,627,376,647,574,403,349,343,453,484,530,451.166666666667
"ENSRNOG00000000150",292,272,289,320,314,292,288,266,281,299,278,279,289.166666666667
"ENSRNOG00000000151",237,207,234,198,288,239,214,271,231,238,239,245,236.75
"ENSRNOG00000000155",361,347,439,388,428,405,383,394,329,478,384,389,393.75
"ENSRNOG00000000156",0,0,1,5,4,3,3,8,4,0,4,2,2.83333333333333
"ENSRNOG00000000157",287,224,252,291,353,219,318,304,285,330,274,316,287.75
"ENSRNOG00000000158",433,330,388,337,498,345,441,440,390,395,303,375,389.583333333333
"ENSRNOG00000000161",419,357,412,439,439,350,450,352,347,490,350,364,397.416666666667
"ENSRNOG00000000164",2555,2233,2297,2157,2272,1860,2577,1965,2026,2768,2058,2140,2242.33333333333
"ENSRNOG00000000165",6,13,3,16,13,4,10,5,2,4,3,0,6.58333333333333
"ENSRNOG00000000166",57,52,56,85,68,69,81,63,63,85,53,58,65.8333333333333
"ENSRNOG00000000167",68,54,44,88,53,98,49,42,49,105,68,75,66.0833333333333
"ENSRNOG00000000168",13049,10993,8611,10770,9723,7998,13489,12509,7034,10673,7959,7319,10010.5833333333
"ENSRNOG00000000169",27,40,51,41,44,44,47,53,35,64,54,48,45.6666666666667
"ENSRNOG00000000170",634,507,585,462,658,568,702,531,559,781,568,596,595.916666666667
"ENSRNOG00000000172",181,178,224,217,248,205,176,192,195,199,181,166,196.833333333333
"ENSRNOG00000000175",73,55,92,86,102,72,67,113,74,89,64,83,80.8333333333333
"ENSRNOG00000000177",189,137,174,186,204,172,252,221,225,232,217,256,205.416666666667
"ENSRNOG00000000184",2,0,0,1,0,0,0,1,1,3,0,0,0.666666666666667
"ENSRNOG00000000185",772,641,642,652,613,566,969,752,637,1179,818,851,757.666666666667
"ENSRNOG00000000186",1380,1287,1025,1265,1165,965,1544,1346,811,1788,1304,1473,1279.41666666667
"ENSRNOG00000000187",3020,2460,2871,2842,2644,2600,3239,3357,3280,5574,3583,4582,3337.66666666667
"ENSRNOG00000000190",918,803,998,901,1006,944,847,862,857,1152,955,964,933.916666666667
"ENSRNOG00000000195",0,1,1,0,0,0,0,2,0,0,0,2,0.5
"ENSRNOG00000000201",3824,3068,3750,2450,2649,2299,3022,1947,2232,3304,2250,1813,2717.33333333333
"ENSRNOG00000000204",545,521,675,582,765,691,678,574,589,787,593,683,640.25
"ENSRNOG00000000219",260,229,275,306,358,283,311,273,269,422,283,318,298.916666666667
"ENSRNOG00000000221",204,203,240,225,309,222,253,203,202,315,224,241,236.75
"ENSRNOG00000000230",199,139,139,185,178,116,184,169,182,230,124,166,167.583333333333
"ENSRNOG00000000231",213,201,214,200,208,175,190,235,160,268,185,184,202.75
"ENSRNOG00000000233",0,0,0,0,2,0,0,0,0,0,0,0,0.166666666666667
"ENSRNOG00000000236",934,825,953,974,1045,933,1004,860,875,1036,836,873,929
"ENSRNOG00000000237",97,116,145,139,171,130,117,116,141,166,101,110,129.083333333333
"ENSRNOG00000000239",2,12,20,10,4,11,7,5,4,2,0,1,6.5
"ENSRNOG00000000244",85,55,72,77,91,79,73,74,83,93,70,87,78.25
"ENSRNOG00000000245",139,187,150,173,177,151,273,210,157,201,158,237,184.416666666667
"ENSRNOG00000000246",265,234,260,261,338,277,305,288,280,375,268,283,286.166666666667
"ENSRNOG00000000247",359,341,355,331,426,299,292,313,341,437,371,344,350.75
"ENSRNOG00000000248",1235,1190,1376,1375,1619,1347,1418,1395,1309,1772,1420,1500,1413
"ENSRNOG00000000249",76,45,62,79,74,47,60,80,58,78,72,67,66.5
"ENSRNOG00000000250",122,99,145,144,137,143,124,135,126,177,139,136,135.583333333333
"ENSRNOG00000000251",2,0,0,0,0,0,0,0,0,1,0,0,0.25
"ENSRNOG00000000257",27,23,26,7,10,25,29,1,6,5,8,6,14.4166666666667
"ENSRNOG00000000258",142,102,156,122,139,124,149,135,102,142,113,127,129.416666666667
"ENSRNOG00000000262",128,107,108,104,161,104,159,157,134,150,115,121,129
"ENSRNOG00000000264",478,447,459,481,447,427,563,538,465,913,698,830,562.166666666667
"ENSRNOG00000000274",307,320,477,413,616,395,444,392,428,549,370,486,433.083333333333
"ENSRNOG00000000275",32,29,50,32,53,50,42,46,29,30,39,38,39.1666666666667
"ENSRNOG00000000277",105,110,105,91,134,80,80,102,89,99,75,92,96.8333333333333
"ENSRNOG00000000279",102,91,112,127,143,103,213,108,171,187,210,124,140.916666666667
"ENSRNOG00000000281",826,764,949,949,791,971,557,581,749,1224,911,1038,859.166666666667
"ENSRNOG00000000283",118,106,122,139,126,117,118,143,134,154,136,141,129.5
"ENSRNOG00000000288",183,167,233,172,292,285,237,206,202,225,239,228,222.416666666667
"ENSRNOG00000000299",1015,813,997,1164,1015,1007,768,968,900,1484,932,1106,1014.08333333333
"ENSRNOG00000000302",282,232,229,273,288,253,293,280,255,244,239,236,258.666666666667
"ENSRNOG00000000303",127,94,138,96,138,128,130,119,86,175,141,139,125.916666666667
"ENSRNOG00000000304",4366,3856,4847,4917,5385,4326,5412,4650,4592,6204,4502,5121,4848.16666666667
"ENSRNOG00000000306",196,203,222,193,203,211,200,191,193,256,220,217,208.75
"ENSRNOG00000000307",50,45,56,50,60,72,85,67,49,66,66,50,59.6666666666667
"ENSRNOG00000000308",144,130,160,147,174,159,195,151,166,206,177,145,162.833333333333
"ENSRNOG00000000312",418,343,425,335,508,379,423,426,433,500,424,314,410.666666666667
"ENSRNOG00000000314",1554,1301,1572,1522,1858,1551,1663,1387,1523,1905,1491,1631,1579.83333333333
"ENSRNOG00000000316",11,10,10,5,17,18,18,10,12,14,14,15,12.8333333333333
