#"gene","transcript","protein"
"ENSRNOG00000054910.1","ENSRNOT00000079974.1",""
"ENSRNOG00000045838.2","ENSRNOT00000087083.1","ENSRNOP00000070459.1"
"ENSRNOG00000045838.2","ENSRNOT00000086771.1",""
"ENSRNOG00000045838.2","ENSRNOT00000082119.1",""
"ENSRNOG00000045838.2","ENSRNOT00000084868.1",""
"ENSRNOG00000045838.2","ENSRNOT00000081133.1","ENSRNOP00000070319.1"
"ENSRNOG00000045838.2","ENSRNOT00000077623.1",""
"ENSRNOG00000045838.2","ENSRNOT00000081496.1",""
"ENSRNOG00000045838.2","ENSRNOT00000021278.4","ENSRNOP00000021278.2"
"ENSRNOG00000061408.1","ENSRNOT00000088605.1",""
"ENSRNOG00000052220.2","ENSRNOT00000078883.2","ENSRNOP00000072509.2"
"ENSRNOG00000018052.7","ENSRNOT00000024418.7","ENSRNOP00000024418.5"
"ENSRNOG00000018052.7","ENSRNOT00000082931.1","ENSRNOP00000070619.1"
"ENSRNOG00000020339.7","ENSRNOT00000076452.2","ENSRNOP00000068189.1"
"ENSRNOG00000020339.7","ENSRNOT00000054696.2","ENSRNOP00000051580.2"
"ENSRNOG00000028746.6","ENSRNOT00000076367.2","ENSRNOP00000067943.1"
"ENSRNOG00000028746.6","ENSRNOT00000016851.5","ENSRNOP00000016851.3"
"ENSRNOG00000028746.6","ENSRNOT00000077011.1",""
"ENSRNOG00000012801.6","ENSRNOT00000017186.6","ENSRNOP00000017186.3"
"ENSRNOG00000012801.6","ENSRNOT00000076251.1","ENSRNOP00000068075.1"
"ENSRNOG00000012801.6","ENSRNOT00000076751.1",""
"ENSRNOG00000012801.6","ENSRNOT00000087894.1","ENSRNOP00000068891.1"
"ENSRNOG00000019687.8","ENSRNOT00000026644.8","ENSRNOP00000026644.4"
"ENSRNOG00000019687.8","ENSRNOT00000076039.2",""
"ENSRNOG00000019687.8","ENSRNOT00000076714.1","ENSRNOP00000068409.1"
"ENSRNOG00000019687.8","ENSRNOT00000087792.1","ENSRNOP00000069125.1"
"ENSRNOG00000051149.1","ENSRNOT00000076834.1",""
"ENSRNOG00000053565.1","ENSRNOT00000077738.1","ENSRNOP00000074596.1"
"ENSRNOG00000017030.8","ENSRNOT00000092976.1","ENSRNOP00000076073.1"
"ENSRNOG00000017030.8","ENSRNOT00000092849.1","ENSRNOP00000076007.1"
"ENSRNOG00000017030.8","ENSRNOT00000084454.1","ENSRNOP00000069438.1"
"ENSRNOG00000017030.8","ENSRNOT00000022939.7","ENSRNOP00000022939.6"
"ENSRNOG00000019730.7","ENSRNOT00000092952.1","ENSRNOP00000075945.1"
"ENSRNOG00000019730.7","ENSRNOT00000066915.3","ENSRNOP00000061371.3"
"ENSRNOG00000046319.4","ENSRNOT00000093216.1",""
"ENSRNOG00000046319.4","ENSRNOT00000044187.4",""
"ENSRNOG00000046319.4","ENSRNOT00000072186.1",""
"ENSRNOG00000049964.2","ENSRNOT00000064023.3","ENSRNOP00000060669.2"
"ENSRNOG00000046036.3","ENSRNOT00000075570.2","ENSRNOP00000067995.1"
"ENSRNOG00000046036.3","ENSRNOT00000081605.1","ENSRNOP00000070524.1"
"ENSRNOG00000049596.3","ENSRNOT00000076262.1","ENSRNOP00000068151.1"
"ENSRNOG00000034078.6","ENSRNOT00000076387.2","ENSRNOP00000068001.1"
"ENSRNOG00000034078.6","ENSRNOT00000076779.2","ENSRNOP00000067990.1"
"ENSRNOG00000034078.6","ENSRNOT00000042822.4","ENSRNOP00000040770.3"
"ENSRNOG00000011015.6","ENSRNOT00000015131.4","ENSRNOP00000015131.2"
"ENSRNOG00000011399.5","ENSRNOT00000003628.6",""
"ENSRNOG00000014833.7","ENSRNOT00000020539.7","ENSRNOP00000020539.5"
"ENSRNOG00000014833.7","ENSRNOT00000076121.2","ENSRNOP00000068081.1"
"ENSRNOG00000014833.7","ENSRNOT00000076197.2","ENSRNOP00000068456.1"
"ENSRNOG00000014833.7","ENSRNOT00000075874.1","ENSRNOP00000068340.1"
"ENSRNOG00000014833.7","ENSRNOT00000076623.1",""
"ENSRNOG00000014833.7","ENSRNOT00000076330.1",""
"ENSRNOG00000014833.7","ENSRNOT00000078670.1","ENSRNOP00000071875.1"
"ENSRNOG00000014160.4","ENSRNOT00000019531.4","ENSRNOP00000019531.1"
"ENSRNOG00000014160.4","ENSRNOT00000076422.1","ENSRNOP00000068050.1"
"ENSRNOG00000014160.4","ENSRNOT00000076684.1",""
"ENSRNOG00000013975.7","ENSRNOT00000076951.2","ENSRNOP00000068312.1"
"ENSRNOG00000013975.7","ENSRNOT00000018934.6","ENSRNOP00000018934.6"
"ENSRNOG00000036817.3","ENSRNOT00000031043.5",""
"ENSRNOG00000017164.8","ENSRNOT00000073346.3","ENSRNOP00000064164.2"
"ENSRNOG00000017164.8","ENSRNOT00000084915.1","ENSRNOP00000073158.1"
"ENSRNOG00000017164.8","ENSRNOT00000023113.7","ENSRNOP00000023113.5"
"ENSRNOG00000020371.7","ENSRNOT00000076894.1","ENSRNOP00000068251.1"
"ENSRNOG00000020371.7","ENSRNOT00000076240.1",""
"ENSRNOG00000020371.7","ENSRNOT00000076923.1","ENSRNOP00000068366.1"
"ENSRNOG00000020371.7","ENSRNOT00000076208.1",""
"ENSRNOG00000020371.7","ENSRNOT00000055235.5","ENSRNOP00000052110.4"
"ENSRNOG00000011540.8","ENSRNOT00000075850.2","ENSRNOP00000068514.1"
"ENSRNOG00000011540.8","ENSRNOT00000064836.1","ENSRNOP00000061074.1"
