"target.row"	"dist.to.feature"	"feature.name"	"feature.strand"	"qvalue"	"pvalue"
"823"	1	-20034	"ENSRNOT00000090855.1"	"+"	1.97776073049226e-142	7.48855269692659e-148
"124"	2	4687	"ENSRNOT00000079585.1"	"-"	3.70694471000025e-138	2.80717989567129e-143
"670"	3	66568	"ENSRNOT00000078733.1"	"-"	3.28461723627274e-136	3.73104221615417e-141
"956"	4	35330	"ENSRNOT00000074449.1"	"+"	1.195570256561e-134	1.81075308678148e-139
"956.1"	5	106644	"ENSRNOT00000074449.1"	"+"	1.94079245441042e-131	3.67428838700638e-136
"915"	6	-83098	"ENSRNOT00000003932.7"	"-"	3.65566651622103e-131	8.3050444658078e-136
"1818"	7	9931	"ENSRNOT00000088496.1"	"+"	1.94422442329155e-128	5.15310005745371e-133
"2336"	8	3434	"ENSRNOT00000034450.4"	"-"	2.82412707671115e-128	8.55457350758699e-133
"284"	9	26077	"ENSRNOT00000080420.1"	"-"	9.64955122561994e-127	3.28831766990771e-131
"1846"	10	-21846	"ENSRNOT00000046885.4"	"-"	1.65370053126778e-122	6.26153780000068e-127
"1394"	11	76986	"ENSRNOT00000030319.4"	"-"	1.4093770716132e-116	5.87008010558864e-121
"242"	12	-40973	"ENSRNOT00000089065.1"	"-"	7.82867268473832e-115	3.5570790971501e-119
"582"	13	135985	"ENSRNOT00000029679.4"	"+"	3.55195655686339e-112	1.74837721652197e-116
"4064"	14	4856	"ENSRNOT00000085159.1"	"+"	7.00674345283267e-112	3.71422657351743e-116
"505"	15	-124060	"ENSRNOT00000083726.1"	"+"	5.92935743626577e-111	3.36761962171265e-115
"1233"	16	-35570	"ENSRNOT00000016953.2"	"-"	1.92334646765495e-109	1.16520314356909e-113
"636"	17	-19631	"ENSRNOT00000077589.1"	"-"	1.71091754801667e-108	1.1012911337304e-112
"434"	18	-925	"ENSRNOT00000080599.1"	"+"	7.35115200970218e-108	5.28850774930367e-112
"691"	19	55207	"ENSRNOT00000090509.1"	"+"	7.35115200970218e-108	5.21541479657922e-112
"57"	20	-11296	"ENSRNOT00000075920.1"	"-"	2.92735402127126e-107	2.21681465435848e-111
"169"	21	65177	"ENSRNOT00000057945.4"	"+"	3.28615019778154e-107	2.61294846985628e-111
"289"	22	18229	"ENSRNOT00000077606.1"	"-"	4.2250011100415e-107	3.51944067512845e-111
